Name,Score
"Concord, Arkansas",Stub
"Conway, Arkansas",Stub
"Corinth, Arkansas",Start
"Corning, Arkansas",Start
"Cotter, Arkansas",Stub
"Cotton Plant, Arkansas",Stub
"Cove, Arkansas",Stub
"Coy, Arkansas",Stub
"Crawfordsville, Arkansas",Stub
"Crossett, Arkansas",Start
"Cushman, Arkansas",Start
"Daisy, Arkansas",Stub
"Damascus, Arkansas",Start
"Danville, Arkansas",Start
"Dardanelle, Arkansas",Stub
"Datto, Arkansas",Start
"De Queen, Arkansas",Stub
"DeValls Bluff, Arkansas",Start
"Decatur, Arkansas",Start
"Delaplaine, Arkansas",Stub
"Delight, Arkansas",Stub
"Dell, Arkansas",Stub
"Denning, Arkansas",Stub
"Dermott, Arkansas",Start
"Des Arc, Arkansas",Stub
"DeWitt, Arkansas",Stub
"Diamond City, Arkansas",Start
"Diaz, Arkansas",Start
"Dierks, Arkansas",Start
"Donaldson, Arkansas",Stub
"Dover, Arkansas",Stub
"Dumas, Arkansas",B
"Dyer, Arkansas",Stub
"Dyess, Arkansas",Start
"Earle, Arkansas",Stub
"East Camden, Arkansas",B
"Edmondson, Arkansas",Stub
"Egypt, Arkansas",Start
"El Dorado, Arkansas",Stub
"Elaine, Arkansas",Stub
"Elkins, Arkansas",Stub
"Elm Springs, Arkansas",Stub
"Emerson, Arkansas",Start
"Emmet, Arkansas",Stub
"England, Arkansas",B
"Enola, Arkansas",Stub
"Etowah, Arkansas",Start
"Eudora, Arkansas",Start
"Eureka Springs, Arkansas",Start
"Evening Shade, Arkansas",Start
"Everton, Arkansas",Start
"Fairfield Bay, Arkansas",Start
"Fargo, Arkansas",Stub
"Farmington, Arkansas",Stub
"Fayetteville, Arkansas",Start
"Felsenthal, Arkansas",Start
"Fifty-Six, Arkansas",Stub
"Fisher, Arkansas",B
"Flippin, Arkansas",Stub
"Fordyce, Arkansas",Start
"Foreman, Arkansas",Stub
"Fort Smith, Arkansas",Stub
"Fouke, Arkansas",B
"Fountain Lake, Arkansas",Start
"Fourche, Arkansas",Stub
"Franklin, Arkansas",Stub
"Fredonia (Biscoe), Arkansas",Stub
"Friendship, Arkansas",Start
"Fulton, Arkansas",Start
"Garfield, Arkansas",B
"Garland, Arkansas",Stub
"Garner, Arkansas",B
"Gassville, Arkansas",Stub
"Gateway, Arkansas",Stub
"Gentry, Arkansas",Stub
"Georgetown, Arkansas",Stub
"Gillett, Arkansas",Start
